Time,Tweet,Likes
2022-12-15 18:31:08+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:30:41+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:30:12+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:30:10+00:00,"BJP top leadership is so strong currently… All they need is couple of strong leaders in every state like
- Devendra Fadnavis…",0
2022-12-15 18:29:46+00:00,"My son, born to a Punjabi family  in Bangalore, was 9 when he was asked, “Are you a North or South Indian”. He replied, “I…",0
2022-12-15 18:29:45+00:00,t’s perfect sweet-spot b/w Mumbai&amp; Bangalore:P,0
2022-12-15 18:29:44+00:00,Sharing a great experience with @AkasaAir and their team specially @shantanubanik_3 helped a lot during my travelling from Bangalore to Agartala journey on 9th December 2022 having PNR (E8239D). Great things should always be praised. Hope to fly soon☺️,1
2022-12-15 18:29:39+00:00,"The High Grounds area of #Bangalore is literally on high ground. And on a clear day, Nandi Hills is visible from any of t…",0
2022-12-15 18:29:11+00:00,Paschim Namaskar Aasna!Good for strengthening arms &amp; the abdomen.😅 Had great time with our colleagues who have recently mig…,0
2022-12-15 18:29:10+00:00,"Japanese Encephalitis vaccination: Health dept meets 43.9% of its target
https://t.co/Y2OfcDZYgH",0
2022-12-15 18:28:45+00:00,narendramodi @JPNadda @nitin_gadkari This MLA has done nothing for Bangalore East and Mahadevpura is th…,0
2022-12-15 18:28:34+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:28:32+00:00,". @kayoas13 ( Kalyan Master ) About Gangster Song..😎🔥 Worthable One..Excitement &amp; Goosebumps Guaranteed..!!

#Thunivu | #A…",0
2022-12-15 18:28:28+00:00,"""We don't nourish cows, in fact, Gaay Humein Paalti Hai.""~Sant Shri Asharamji Bapu

#Ashram #Trust #Bengaluru conducted a Ga…",0
2022-12-15 18:28:02+00:00,"DRMJodhpurNWR @NWRailways Daily train is available for pune
Ju bangalore and ajmer bangalore and bikaner yeaswantpur a",0
2022-12-15 18:27:57+00:00,RoyalsKolkata @iamsrk @pooja_dadlani @KarunaBadwal @iamsrkclub @gurusrk1 @Srk_bangalore @MdSalim73584187 Super 👌👌👌,1
2022-12-15 18:27:41+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:27:33+00:00,blrcitytraffic Yes Bangalore traffic police are responding and addressing concerns,0
2022-12-15 18:27:22+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:26:49+00:00,"What an evening HR Sampark

Organising the maiden #CHRO round table in Bangalore having friends and colleagues from different industries. 

Great Connect and Interaction and quality of discussions when same level headed and quality people vibe together.…https://t.co/3ULl671sQQ",0
2022-12-15 18:25:49+00:00,"We are one of Bangalore's top digital marketing agencies, providing comprehensive services that are both affordable and appropriate for your needs. We can help you expand your business whether you're a startup or an established firm
Reach Us : 79758 15836
.
#spydernettechnologies https://t.co/tuxghtBKoz",0
2022-12-15 18:25:38+00:00,"o questions,only love &amp; lots of love from your Bangalore fans @sivaangi_k 🫶❤️!",0
2022-12-15 18:25:14+00:00,iamsrk @yrf @iamsrkclub @RedChilliesEnt Nice 👌👌👌👌,0
2022-12-15 18:24:53+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:23:59+00:00,"When the #IT industry in India is expected to grow in double digits, Indian techies should be optimistic about their future.…",0
2022-12-15 18:23:24+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:23:20+00:00,"Saw a Scorpio with Nazi emblem in Bangalore today. Things are getting wild out here. 

(Cannot really give the 'hindu…",0
2022-12-15 18:23:08+00:00,"ll the best!

Lets see how long it takes you to tweet about Bangalore traffic 😂",0
2022-12-15 18:23:01+00:00,"One year for boss blessings 🙏 through back bangalore #Pushpa press meet

Karnataka Gadda @alluarjun Adda 🔥 https://t.co/s…",0
